SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,CATEGORY
271,111,1,0,823,14,16,4
96,96,0,1,532,9,9,6
108,96,0,0,413,8,12,1
238,111,0,1,1222,27,8,6
261,100,0,0,424,10,15,3
285,111,0,1,1411,35,24,2
238,79,0,0,2433,48,9,6
238,108,0,0,1414,35,8,6
238,7,0,0,1655,41,9,6
10,23,0,0,624,6,4,6
265,111,0,0,2413,40,15,3
96,100,0,1,1622,45,9,6
238,90,0,0,923,14,8,6
247,16,0,0,2013,48,8,2
83,123,0,0,1023,28,15,3
169,73,0,0,1522,29,2,6
187,107,1,0,2431,49,24,2
148,67,1,0,1111,37,24,2
238,16,0,1,1522,29,8,6
59,111,0,0,822,14,7,3
248,111,0,0,2423,49,7,3
238,54,0,0,312,20,9,6
248,99,0,0,1122,37,7,3
265,111,0,0,1733,33,15,3
271,111,1,0,714,15,16,4
96,96,0,1,131,3,9,6
59,111,0,0,1821,27,7,3
83,107,1,0,2432,49,15,3
96,96,1,1,833,23,9,6
265,16,1,1,621,6,15,3
59,111,0,0,1424,1,7,3
261,111,0,0,422,7,15,3
102,122,1,0,531,9,24,2
247,111,0,1,823,15,8,2
45,16,0,0,1221,36,12,1
62,43,0,0,723,16,12,1
96,111,0,1,421,7,9,6
59,111,0,0,1212,36,7,3
252,108,0,0,1834,42,12,1
248,111,0,0,924,15,7,3
271,111,1,0,1524,37,16,4
108,16,0,0,1914,46,12,1
238,122,0,1,511,8,8,6
238,96,0,1,1533,28,8,6
261,100,0,0,1424,1,15,3
238,69,0,0,2221,21,9,6
2,16,0,1,414,8,4,6
184,43,1,0,1723,39,17,5
238,111,0,0,923,14,8,6
265,122,0,0,825,16,15,3
238,43,0,0,433,10,8,6
96,111,0,1,2534,36,9,6
238,62,0,0,2212,19,8,6
59,111,0,0,234,5,7,3
265,111,0,1,1532,28,15,3
119,16,1,1,414,7,24,2
140,96,0,0,822,14,8,2
96,16,0,1,912,11,9,6
96,16,0,1,1834,2,9,6
265,111,0,0,2535,26,15,3
247,96,0,0,713,16,8,2
284,111,0,0,1723,33,24,2
265,111,0,0,225,3,15,3
203,37,1,0,1124,28,19,0
